,Generator Loss per step,Discriminator Loss per step
0,27.363811,1.6902473
1,23.24581,8.649183
2,14.606001,10.425287
3,11.69002,5.050904
4,9.650617,1.5223389
5,10.334289,1.8392115
6,10.457131,2.7010703
7,10.493072,2.957292
8,8.561008,1.6804631
9,8.653116,1.5715749
10,8.100629,1.8576169
11,9.063036,2.1326094
12,8.901853,1.8349634
13,8.299169,1.7084327
14,6.9770904,1.7077817
15,7.615176,1.7036351
16,8.364295,1.6070614
17,8.2090225,1.544827
18,7.0047617,1.5242293
19,7.754958,1.5352137
20,7.5510764,1.5408489
21,8.237749,1.543391
22,8.131308,1.5397134
23,7.7020044,1.5016565
24,9.0574875,1.4776382
25,8.828961,1.4641373
26,7.857756,1.4646174
27,7.0144587,1.460774
28,8.078294,1.4408803
29,7.6977353,1.4310716
30,7.6347785,1.4311886
31,6.8895435,1.4369085
32,8.107109,1.4486868
33,6.2424245,1.4579506
34,8.048515,1.4492788
35,7.5375323,1.441631
36,8.078683,1.4375587
37,7.6990247,1.4298232
38,7.148508,1.426369
39,6.6220374,1.4218991
40,7.7279005,1.4148592
41,6.959611,1.4060819
42,6.4601936,1.4013753
43,7.1306105,1.4001634
44,9.645187,1.397356
45,8.477503,1.3963058
46,8.524299,1.3970566
47,7.7062707,1.3950545
48,8.092504,1.3939319
49,6.9808064,1.3911772
50,7.4788494,1.388794
51,7.0002513,1.3871051
52,7.407621,1.3870983
53,6.9795694,1.387181
54,7.197591,1.387487
55,7.2360835,1.3871834
56,7.1438746,1.3880341
57,6.2610316,1.3900201
58,8.355584,1.3949065
59,7.163389,1.4015336
60,7.722784,1.404998
61,7.5297623,1.4033911
62,7.1420884,1.3990853
63,8.181353,1.3977029
64,7.47264,1.3979301
65,7.5354495,1.3954031
66,7.026135,1.3939766
67,6.094771,1.3928175
68,7.102444,1.394208
69,7.153567,1.3952618
70,7.2287703,1.3980098
71,7.9513745,1.4009104
72,6.741077,1.4021544
73,7.0814276,1.4033599
74,7.0498323,1.4031436
75,6.913125,1.4029384
76,6.925169,1.4017042
77,6.7319,1.4035034
78,6.4664392,1.4059582
79,6.8992734,1.4073787
80,7.405786,1.4045488
81,6.4937925,1.40173
82,7.750347,1.3982736
83,6.7852607,1.3952299
84,7.298174,1.3930283
85,6.5088687,1.3906522
86,7.067579,1.3885086
87,7.398804,1.387373
88,7.187049,1.3862988
89,5.760547,1.3867148
90,6.625634,1.3864768
91,7.282802,1.3864574
92,7.06177,1.3871775
93,6.0530047,1.3877479
94,6.971924,1.3869661
95,6.147783,1.3882082
96,6.922381,1.38842
97,7.1669116,1.3894835
98,6.8064976,1.3907585
99,8.035921,1.391386
100,7.4372797,1.3933347
101,6.922105,1.3954802
102,6.2573695,1.3982623
103,6.9700084,1.4041153
104,7.1192856,1.4072555
105,6.873359,1.4030098
106,6.374464,1.3999932
107,7.501112,1.3983324
108,5.4551163,1.3957033
109,7.4678745,1.3929281
110,6.870634,1.3918312
111,7.5391765,1.391932
112,7.005646,1.3937223
113,6.4648213,1.3950455
114,5.8697476,1.3972404
115,7.1208053,1.401871
116,6.63407,1.406691
117,5.962984,1.4106601
118,6.800954,1.4121603
119,6.516918,1.4073334
120,6.487432,1.4030552
121,7.000595,1.4025049
122,6.802863,1.4025437
123,7.2057796,1.4056488
124,6.280752,1.4069383
125,6.770098,1.4051416
126,6.3824544,1.4032259
127,6.8611174,1.4023972
128,6.300129,1.3998849
129,6.55485,1.3977562
130,6.60135,1.3969638
131,6.6081414,1.3976171
132,5.5596704,1.3999757
133,7.705439,1.4050325
134,6.522184,1.408004
135,6.832242,1.4083476
136,6.714022,1.4041326
137,6.637577,1.3968586
138,7.5274267,1.3914113
139,6.8742414,1.3892179
140,6.846378,1.3872473
141,6.3238454,1.3866053
142,5.508306,1.3868053
143,6.6105566,1.3878298
144,6.481516,1.3874819
145,6.4690676,1.3882046
146,7.4053054,1.388341
147,6.185565,1.3882264
148,6.6496983,1.3884392
149,6.594118,1.388742
150,6.404786,1.3909425
151,6.2633114,1.3919573
152,6.204417,1.3908303
153,5.8987474,1.3884469
154,6.3829803,1.3884897
155,6.8839054,1.3892887
156,6.022848,1.3896986
157,7.302535,1.3906877
158,6.2376957,1.3905768
159,6.7653933,1.3925954
160,5.876582,1.3971839
161,6.695888,1.4009566
162,6.889315,1.4039168
163,6.6764827,1.4057438
164,5.3384023,1.4049802
165,5.9380736,1.402304
166,6.828719,1.4003139
167,6.565141,1.4005466
168,5.6597624,1.3986115
169,6.40347,1.396693
170,5.776616,1.3960705
171,6.420272,1.3945794
172,6.77718,1.3942738
173,6.4271955,1.3940986
174,7.72411,1.393112
175,7.188197,1.3922346
176,6.386879,1.3916521
177,5.833264,1.3922012
178,6.538146,1.392436
179,6.574659,1.3919303
180,6.517432,1.3893062
181,5.923692,1.3879397
182,7.1766033,1.3878458
183,5.0409946,1.3869826
184,7.009738,1.3864169
185,6.47143,1.3865786
186,6.988848,1.3864393
187,6.643059,1.3866906
188,6.0495872,1.3870459
189,5.5226727,1.3876431
190,6.743684,1.3886092
191,6.1027365,1.3892351
192,5.5527616,1.3897864
193,6.3753853,1.3904622
194,6.039677,1.3885128
195,6.1985703,1.3878615
196,6.795128,1.3884006
197,6.4697247,1.3888631
198,6.829237,1.3903785
199,5.9890213,1.39135
200,6.510717,1.3918182
201,6.0291915,1.391377
202,6.5250354,1.3915212
203,5.9408045,1.3913836
204,6.22978,1.3914986
205,6.4221425,1.3924439
206,6.2265635,1.3943549
207,5.28944,1.3970916
208,7.597799,1.4016969
209,6.3699474,1.4056044
210,6.629492,1.4079981
211,6.6197586,1.4059188
212,6.4024773,1.3995024
213,7.260221,1.3939211
214,6.6344504,1.390603
215,6.638351,1.3882724
216,6.040955,1.3872588
217,5.314817,1.3867443
218,6.348868,1.3866189
219,6.2142973,1.3868241
220,6.229113,1.3867756
221,7.105562,1.3873537
222,6.044702,1.3872535
223,6.290453,1.387434
224,6.160332,1.3876445
225,6.2523856,1.389816
226,6.0612783,1.3904787
227,5.9540997,1.3897862
228,5.7337446,1.3879061
229,6.144973,1.3879087
230,6.7572823,1.388598
231,5.841849,1.3890617
232,7.0792484,1.3899876
233,5.9907746,1.3904876
234,6.557373,1.3916801
235,5.634014,1.3957767
236,6.4164295,1.3989637
237,6.8363276,1.4015728
238,6.4975767,1.4030952
239,5.129599,1.4034064
240,5.8337526,1.4021748
241,6.692166,1.4013691
242,6.368421,1.4015985
243,5.540166,1.3994365
244,6.304594,1.397297
245,5.607786,1.3962152
246,6.075033,1.3950874
247,6.4565544,1.3957536
248,6.349539,1.3963656
249,7.4129395,1.3958731
250,7.108481,1.3949642
251,6.2300863,1.394475
252,5.668119,1.3945532
253,6.296146,1.3935544
254,6.390926,1.3916461
255,6.3435006,1.3887601
256,5.7564826,1.387635
257,6.983696,1.3877819
258,4.976717,1.3872324
259,6.88254,1.386221
260,6.304213,1.3863537
261,6.8868265,1.3863888
262,6.4442353,1.3870194
263,5.877729,1.3876308
264,5.3507004,1.3886294
265,6.573973,1.389184
266,6.0231233,1.3893011
267,5.498417,1.3897681
268,6.363031,1.3892207
269,5.8430915,1.3873773
270,6.027293,1.3871164
271,6.5761623,1.3873681
272,6.2467957,1.3871802
273,6.6368155,1.3879541
274,5.828239,1.3884532
275,6.3447638,1.3885515
276,5.8550677,1.3878206
277,6.4217634,1.3882003
278,5.7856965,1.3880167
279,6.228463,1.3883319
280,6.1441383,1.3894572
281,6.073287,1.3908253
282,5.183006,1.3931472
283,7.4491796,1.3961749
284,6.2136583,1.4002072
285,6.4375243,1.4045265
286,6.30784,1.4056451
287,6.290548,1.401124
288,7.0510244,1.3965104
289,6.447824,1.3932112
290,6.4516754,1.3906074
291,5.9194956,1.3890977
292,5.089279,1.3876609
293,6.356355,1.3871484
294,6.1739793,1.3862321
295,6.1155868,1.3865987
296,7.0078115,1.3864431
297,5.8402433,1.3865937
298,6.1826806,1.3868086
299,6.0465856,1.3867743
300,6.1167026,1.3884368
301,6.0024977,1.3892651
302,5.834508,1.3893306
303,5.555821,1.3878328
304,6.1429152,1.3879528
305,6.633247,1.3886994
306,5.7164345,1.3895894
307,6.9796314,1.3908546
308,5.8712716,1.3913234
309,6.443156,1.3927596
310,5.5131555,1.3967373
311,6.286839,1.4009154
312,6.756224,1.4047017
313,6.3606567,1.4069954
314,5.018664,1.4080739
315,5.715753,1.4066062
316,6.6527753,1.4053031
317,6.2765217,1.4045824
318,5.436678,1.4008951
319,6.208323,1.3978263
320,5.484804,1.3957424
321,5.9315653,1.393806
322,6.341519,1.3949246
323,6.25894,1.3964415
324,7.2086744,1.3956366
325,7.0223603,1.3952215
326,6.1613245,1.3951718
327,5.5566382,1.3956397
328,6.2604494,1.3940009
329,6.3173194,1.3913507
330,6.2631626,1.3883533
331,5.649776,1.3878543
332,6.9402137,1.3882694
333,4.825207,1.3877145
334,6.8289156,1.3865421
335,6.151184,1.3865004
336,6.8547015,1.3866959
337,6.331598,1.3875737
338,5.7983193,1.3883102
339,5.2292724,1.3892359
340,6.5352526,1.3898072
341,5.872018,1.3904295
342,5.3186226,1.390763
343,6.156537,1.3908427
344,5.7386312,1.3880919
345,6.0641737,1.387327
346,6.503598,1.3875017
