,Generator Loss per step,Discriminator Loss per step
0,53.66139,1.7236114
1,54.33691,5.1376266
2,45.056248,1.701426
3,41.44384,1.7950561
4,37.189003,2.3899734
5,35.741856,1.7995856
6,33.277172,1.533725
7,31.254688,1.456483
8,30.268053,1.4580985
9,29.755592,1.4487014
10,25.117807,1.4277537
11,26.70736,1.4608874
12,24.49519,1.4734905
13,23.30282,1.5055803
14,21.871208,1.4697499
15,19.560625,1.4209688
16,20.001661,1.4164623
17,20.71576,1.411988
18,19.582209,1.4050648
19,17.68338,1.3964527
20,18.315176,1.4175065
21,17.648067,1.3977535
22,16.45359,1.3852074
23,18.304184,1.4334427
24,18.356901,1.5216683
25,16.014246,1.6936723
26,16.950006,1.8603466
27,18.37843,1.6403081
28,16.651438,1.6804687
29,17.893433,1.6516093
30,16.166857,1.4637058
31,18.562857,1.400013
32,18.644508,1.3923402
33,18.353304,1.4108641
34,17.265549,1.3903396
35,15.731999,1.3813856
36,15.835042,1.3859345
37,17.001951,1.3765831
38,14.954737,1.3774422
39,14.192743,1.3686585
40,14.716677,1.3660781
41,15.321967,1.3468676
42,14.868048,1.3488221
43,15.014714,1.381525
44,15.448211,1.3395104
45,17.283995,1.3426547
46,16.01823,1.3286719
47,15.432038,1.3418492
48,15.681742,1.3266275
49,17.521107,1.2660422
50,17.060238,1.3074013
51,16.906013,1.3007901
52,18.536913,1.2962191
53,17.154013,1.2779918
54,15.2625675,1.3121037
55,15.484212,1.2745756
56,18.877533,1.2516708
57,16.14374,1.3234887
58,14.5807085,1.3401511
59,14.463763,1.3466494
60,16.294651,1.3146482
61,13.796001,1.28967
62,14.571273,1.2763952
63,14.584947,1.2882745
64,12.921974,1.2984264
65,17.4889,1.2799034
66,15.526015,1.1930859
67,15.63481,1.1935328
68,15.910835,1.2323391
69,15.66383,1.1831551
70,15.524367,1.152477
71,16.105404,1.1429436
72,15.813445,1.0600736
73,13.403207,1.1751137
74,15.601278,1.0995038
75,16.141747,1.1336262
76,14.393335,1.1067442
77,12.4895115,1.1338282
78,16.434391,1.1530625
79,14.822865,1.1609353
80,16.156109,1.0665214
81,13.575908,1.313395
82,16.441156,1.2953124
83,13.014382,1.6339873
84,17.42345,1.1685781
85,14.0504,1.3535984
86,13.458749,1.5583277
87,15.614029,1.4443356
88,15.342826,1.4882752
89,14.46966,1.4216673
90,13.620351,1.1882263
91,14.799536,1.1337081
92,14.859174,1.0934539
93,12.506041,0.91914
94,12.135761,1.0512686
95,14.429876,0.96049994
96,15.306853,0.91934925
97,14.196293,0.9204955
98,14.318363,0.9735856
99,16.8724,0.8703714
100,16.618837,0.8833332
101,13.68971,0.8561704
102,16.038658,0.8630818
103,15.341613,0.816736
104,13.280676,0.76643944
105,13.897665,0.7605309
106,14.572113,0.81185913
107,15.448755,0.85017097
108,16.931833,0.7774929
109,14.253355,0.95036364
110,18.144325,1.018647
111,16.253323,1.00832
112,15.009302,0.8724446
113,15.612722,0.8127976
114,13.218466,0.9979006
115,15.057642,0.77129
116,13.373266,0.9446543
117,14.428347,0.7212463
118,15.190512,0.9839604
119,15.855854,0.85270035
120,14.382036,0.9209157
121,16.996017,1.5131073
122,14.550236,1.1395447
123,13.289225,1.0602932
124,15.371497,1.1318233
125,14.205646,1.0913777
126,15.993823,1.1129867
127,14.822062,1.222814
128,13.3892145,1.3508172
129,13.451582,1.3743838
130,14.962726,1.3426067
131,13.008039,1.249592
132,15.231495,1.1852146
133,14.71572,1.6297117
134,13.9909935,1.2882869
135,14.050645,1.0500056
136,12.844672,1.2693605
137,13.7818365,1.1999128
138,14.459381,1.0288997
139,13.867574,0.9884213
140,15.243764,0.84933275
141,15.003208,0.70114595
142,15.639782,0.6924795
143,14.096418,0.6543215
